ID1,ID2,r,r_cat
6002004,6003054,0.125,"[0.125,0.25)"
6002005,6002006,0.5,"[0.5,1)"
6002005,6002007,0.5,"[0.5,1)"
6002005,6002008,0.5,"[0.5,1)"
6002005,6002010,0.5,"[0.5,1)"
6002005,6002011,0.5,"[0.5,1)"
6002005,6002012,0.5,"[0.5,1)"
6002005,6002099,0.125,"[0.125,0.25)"
6002005,6002101,0.0625,"[0,0.125)"
6002005,6002102,0.0625,"[0,0.125)"
6002005,6002218,0.25,"[0.25,0.5)"
6002005,6002219,0.25,"[0.25,0.5)"
6002005,6002221,0.125,"[0.125,0.25)"
6002005,6002222,0.125,"[0.125,0.25)"
6002005,6002359,0.125,"[0.125,0.25)"
6002005,6002360,0.0625,"[0,0.125)"
6002005,6002362,0.03125,"[0,0.125)"
6002005,6002363,0.03125,"[0,0.125)"
6002005,6002437,0.25,"[0.25,0.5)"
6002005,6002439,0.125,"[0.125,0.25)"
6002005,6002440,0.125,"[0.125,0.25)"
6002005,6002706,0.25,"[0.25,0.5)"
6002005,6002707,0.25,"[0.25,0.5)"
6002005,6002708,0.25,"[0.25,0.5)"
6002005,6002870,0.125,"[0.125,0.25)"
6002005,6002871,0.125,"[0.125,0.25)"
6002006,6002005,0.5,"[0.5,1)"
6002006,6002008,0.5,"[0.5,1)"
6002006,6002010,0.25,"[0.25,0.5)"
6002006,6002011,0.25,"[0.25,0.5)"
6002006,6002012,0.25,"[0.25,0.5)"
6002006,6002099,0.25,"[0.25,0.5)"
6002006,6002101,0.125,"[0.125,0.25)"
6002006,6002102,0.125,"[0.125,0.25)"
6002006,6002218,0.5,"[0.5,1)"
6002006,6002219,0.5,"[0.5,1)"
6002006,6002221,0.25,"[0.25,0.5)"
6002006,6002222,0.25,"[0.25,0.5)"
6002006,6002359,0.25,"[0.25,0.5)"
6002006,6002360,0.125,"[0.125,0.25)"
6002006,6002362,0.0625,"[0,0.125)"
6002006,6002363,0.0625,"[0,0.125)"
6002006,6002437,0.5,"[0.5,1)"
6002006,6002439,0.25,"[0.25,0.5)"
6002006,6002440,0.25,"[0.25,0.5)"
6002006,6002706,0.5,"[0.5,1)"
6002006,6002870,0.25,"[0.25,0.5)"
6002006,6002871,0.25,"[0.25,0.5)"
6002007,6002005,0.5,"[0.5,1)"
6002007,6002008,0.5,"[0.5,1)"
6002007,6002010,0.25,"[0.25,0.5)"
6002007,6002011,0.25,"[0.25,0.5)"
6002007,6002012,0.25,"[0.25,0.5)"
6002007,6002707,0.5,"[0.5,1)"
6002007,6002708,0.5,"[0.5,1)"
6002008,6002005,0.5,"[0.5,1)"
6002008,6002006,0.5,"[0.5,1)"
6002008,6002007,0.5,"[0.5,1)"
6002008,6002010,0.25,"[0.25,0.5)"
6002008,6002011,0.25,"[0.25,0.5)"
6002008,6002012,0.25,"[0.25,0.5)"
6002008,6002099,0.125,"[0.125,0.25)"
6002008,6002101,0.0625,"[0,0.125)"
6002008,6002102,0.0625,"[0,0.125)"
6002008,6002218,0.25,"[0.25,0.5)"
6002008,6002219,0.25,"[0.25,0.5)"
6002008,6002221,0.125,"[0.125,0.25)"
6002008,6002222,0.125,"[0.125,0.25)"
6002008,6002359,0.125,"[0.125,0.25)"
6002008,6002360,0.0625,"[0,0.125)"
6002008,6002362,0.03125,"[0,0.125)"
6002008,6002363,0.03125,"[0,0.125)"
6002008,6002437,0.25,"[0.25,0.5)"
6002008,6002439,0.125,"[0.125,0.25)"
6002008,6002440,0.125,"[0.125,0.25)"
6002008,6002706,0.25,"[0.25,0.5)"
6002008,6002707,0.25,"[0.25,0.5)"
6002008,6002708,0.25,"[0.25,0.5)"
6002008,6002870,0.125,"[0.125,0.25)"
6002008,6002871,0.125,"[0.125,0.25)"
6002009,6002010,0.5,"[0.5,1)"
6002009,6002011,0.5,"[0.5,1)"
6002009,6002012,0.5,"[0.5,1)"
6002009,6002709,0.5,"[0.5,1)"
6002009,6002710,0.5,"[0.5,1)"
6002010,6002005,0.5,"[0.5,1)"
6002010,6002006,0.25,"[0.25,0.5)"
6002010,6002007,0.25,"[0.25,0.5)"
6002010,6002008,0.25,"[0.25,0.5)"
6002010,6002009,0.5,"[0.5,1)"
6002010,6002011,0.5,"[0.5,1)"
6002010,6002012,0.5,"[0.5,1)"
6002010,6002099,0.0625,"[0,0.125)"
6002010,6002101,0.03125,"[0,0.125)"
6002010,6002102,0.03125,"[0,0.125)"
6002010,6002218,0.125,"[0.125,0.25)"
6002010,6002219,0.125,"[0.125,0.25)"
6002010,6002221,0.0625,"[0,0.125)"
6002010,6002222,0.0625,"[0,0.125)"
6002010,6002359,0.0625,"[0,0.125)"
6002010,6002360,0.03125,"[0,0.125)"
6002010,6002362,0.015625,"[0,0.125)"
6002010,6002363,0.015625,"[0,0.125)"
6002010,6002437,0.125,"[0.125,0.25)"
6002010,6002439,0.0625,"[0,0.125)"
6002010,6002440,0.0625,"[0,0.125)"
6002010,6002706,0.125,"[0.125,0.25)"
6002010,6002707,0.125,"[0.125,0.25)"
6002010,6002708,0.125,"[0.125,0.25)"
6002010,6002709,0.25,"[0.25,0.5)"
6002010,6002710,0.25,"[0.25,0.5)"
6002010,6002870,0.0625,"[0,0.125)"
6002010,6002871,0.0625,"[0,0.125)"
6002011,6002005,0.5,"[0.5,1)"
6002011,6002006,0.25,"[0.25,0.5)"
6002011,6002007,0.25,"[0.25,0.5)"
6002011,6002008,0.25,"[0.25,0.5)"
6002011,6002009,0.5,"[0.5,1)"
6002011,6002010,0.5,"[0.5,1)"
6002011,6002012,0.5,"[0.5,1)"
6002011,6002099,0.0625,"[0,0.125)"
6002011,6002101,0.03125,"[0,0.125)"
6002011,6002102,0.03125,"[0,0.125)"
6002011,6002218,0.125,"[0.125,0.25)"
6002011,6002219,0.125,"[0.125,0.25)"
6002011,6002221,0.0625,"[0,0.125)"
6002011,6002222,0.0625,"[0,0.125)"
6002011,6002359,0.0625,"[0,0.125)"
6002011,6002360,0.03125,"[0,0.125)"
6002011,6002362,0.015625,"[0,0.125)"
6002011,6002363,0.015625,"[0,0.125)"
6002011,6002437,0.125,"[0.125,0.25)"
6002011,6002439,0.0625,"[0,0.125)"
6002011,6002440,0.0625,"[0,0.125)"
6002011,6002706,0.125,"[0.125,0.25)"
6002011,6002707,0.125,"[0.125,0.25)"
6002011,6002708,0.125,"[0.125,0.25)"
6002011,6002709,0.25,"[0.25,0.5)"
6002011,6002710,0.25,"[0.25,0.5)"
6002011,6002870,0.0625,"[0,0.125)"
6002011,6002871,0.0625,"[0,0.125)"
6002012,6002005,0.5,"[0.5,1)"
6002012,6002006,0.25,"[0.25,0.5)"
6002012,6002007,0.25,"[0.25,0.5)"
6002012,6002008,0.25,"[0.25,0.5)"
6002012,6002009,0.5,"[0.5,1)"
6002012,6002010,0.5,"[0.5,1)"
6002012,6002011,0.5,"[0.5,1)"
6002012,6002099,0.0625,"[0,0.125)"
6002012,6002101,0.03125,"[0,0.125)"
6002012,6002102,0.03125,"[0,0.125)"
6002012,6002218,0.125,"[0.125,0.25)"
6002012,6002219,0.125,"[0.125,0.25)"
6002012,6002221,0.0625,"[0,0.125)"
6002012,6002222,0.0625,"[0,0.125)"
6002012,6002359,0.0625,"[0,0.125)"
6002012,6002360,0.03125,"[0,0.125)"
6002012,6002362,0.015625,"[0,0.125)"
6002012,6002363,0.015625,"[0,0.125)"
6002012,6002437,0.125,"[0.125,0.25)"
6002012,6002439,0.0625,"[0,0.125)"
6002012,6002440,0.0625,"[0,0.125)"
6002012,6002706,0.125,"[0.125,0.25)"
6002012,6002707,0.125,"[0.125,0.25)"
6002012,6002708,0.125,"[0.125,0.25)"
6002012,6002709,0.25,"[0.25,0.5)"
6002012,6002710,0.25,"[0.25,0.5)"
6002012,6002870,0.0625,"[0,0.125)"
6002012,6002871,0.0625,"[0,0.125)"
6002013,6002015,0.5,"[0.5,1)"
6002013,6002016,0.5,"[0.5,1)"
6002013,6002704,0.5,"[0.5,1)"
6002013,6002705,0.5,"[0.5,1)"
6002014,6002015,0.5,"[0.5,1)"
6002014,6002016,0.5,"[0.5,1)"
6002014,6002032,0.5,"[0.5,1)"
6002014,6002033,0.5,"[0.5,1)"
6002014,6002035,0.25,"[0.25,0.5)"
6002014,6002036,0.25,"[0.25,0.5)"
6002014,6002037,0.25,"[0.25,0.5)"
6002014,6002077,0.5,"[0.5,1)"
6002014,6002078,0.5,"[0.5,1)"
6002014,6002079,0.25,"[0.25,0.5)"
6002014,6002080,0.25,"[0.25,0.5)"
6002014,6002726,0.25,"[0.25,0.5)"
6002014,6002727,0.25,"[0.25,0.5)"
6002014,6002763,0.25,"[0.25,0.5)"
6002014,6002764,0.25,"[0.25,0.5)"
6002015,6002013,0.5,"[0.5,1)"
6002015,6002014,0.5,"[0.5,1)"
6002015,6002016,0.5,"[0.5,1)"
6002015,6002032,0.25,"[0.25,0.5)"
6002015,6002033,0.25,"[0.25,0.5)"
6002015,6002035,0.125,"[0.125,0.25)"
6002015,6002036,0.125,"[0.125,0.25)"
6002015,6002037,0.125,"[0.125,0.25)"
6002015,6002077,0.25,"[0.25,0.5)"
6002015,6002078,0.25,"[0.25,0.5)"
6002015,6002079,0.125,"[0.125,0.25)"
6002015,6002080,0.125,"[0.125,0.25)"
6002015,6002704,0.25,"[0.25,0.5)"
6002015,6002705,0.25,"[0.25,0.5)"
6002015,6002726,0.125,"[0.125,0.25)"
6002015,6002727,0.125,"[0.125,0.25)"
6002015,6002763,0.125,"[0.125,0.25)"
6002015,6002764,0.125,"[0.125,0.25)"
6002016,6002013,0.5,"[0.5,1)"
6002016,6002014,0.5,"[0.5,1)"
6002016,6002015,0.5,"[0.5,1)"
6002016,6002032,0.25,"[0.25,0.5)"
6002016,6002033,0.25,"[0.25,0.5)"
6002016,6002035,0.125,"[0.125,0.25)"
6002016,6002036,0.125,"[0.125,0.25)"
6002016,6002037,0.125,"[0.125,0.25)"
6002016,6002077,0.25,"[0.25,0.5)"
6002016,6002078,0.25,"[0.25,0.5)"
6002016,6002079,0.125,"[0.125,0.25)"
6002016,6002080,0.125,"[0.125,0.25)"
6002016,6002704,0.25,"[0.25,0.5)"
6002016,6002705,0.25,"[0.25,0.5)"
6002016,6002726,0.125,"[0.125,0.25)"
6002016,6002727,0.125,"[0.125,0.25)"
6002016,6002763,0.125,"[0.125,0.25)"
6002016,6002764,0.125,"[0.125,0.25)"
6002017,6002019,0.5,"[0.5,1)"
6002017,6002020,0.5,"[0.5,1)"
6002017,6002021,0.5,"[0.5,1)"
6002017,6002056,0.25,"[0.25,0.5)"
6002017,6002057,0.125,"[0.125,0.25)"
6002017,6002058,0.125,"[0.125,0.25)"
6002017,6002153,0.5,"[0.5,1)"
6002017,6002156,0.25,"[0.25,0.5)"
6002017,6002158,0.25,"[0.25,0.5)"
6002017,6002159,0.125,"[0.125,0.25)"
6002017,6002160,0.125,"[0.125,0.25)"
6002017,6002374,0.25,"[0.25,0.5)"
6002017,6002375,0.125,"[0.125,0.25)"
6002017,6002376,0.125,"[0.125,0.25)"
6002017,6002427,0.5,"[0.5,1)"
6002017,6002428,0.25,"[0.25,0.5)"
6002017,6002429,0.25,"[0.25,0.5)"
6002017,6002482,0.5,"[0.5,1)"
6002017,6002483,0.25,"[0.25,0.5)"
6002017,6002485,0.125,"[0.125,0.25)"
6002017,6002489,0.5,"[0.5,1)"
6002017,6002492,0.25,"[0.25,0.5)"
6002017,6002494,0.25,"[0.25,0.5)"
6002017,6002495,0.125,"[0.125,0.25)"
6002017,6002496,0.125,"[0.125,0.25)"
6002017,6002711,0.5,"[0.5,1)"
6002017,6002712,0.5,"[0.5,1)"
6002018,6002019,0.5,"[0.5,1)"
6002018,6002020,0.5,"[0.5,1)"
6002018,6002021,0.5,"[0.5,1)"
6002018,6002277,0.25,"[0.25,0.5)"
6002018,6002278,0.5,"[0.5,1)"
6002018,6002280,0.125,"[0.125,0.25)"
6002018,6002281,0.125,"[0.125,0.25)"
6002018,6002713,0.5,"[0.5,1)"
6002018,6002714,0.5,"[0.5,1)"
6002019,6002017,0.5,"[0.5,1)"
6002019,6002018,0.5,"[0.5,1)"
6002019,6002020,0.5,"[0.5,1)"
6002019,6002021,0.5,"[0.5,1)"
6002019,6002056,0.125,"[0.125,0.25)"
6002019,6002057,0.0625,"[0,0.125)"
6002019,6002058,0.0625,"[0,0.125)"
6002019,6002153,0.25,"[0.25,0.5)"
6002019,6002156,0.125,"[0.125,0.25)"
6002019,6002158,0.125,"[0.125,0.25)"
6002019,6002159,0.0625,"[0,0.125)"
6002019,6002160,0.0625,"[0,0.125)"
6002019,6002277,0.125,"[0.125,0.25)"
6002019,6002278,0.25,"[0.25,0.5)"
6002019,6002280,0.0625,"[0,0.125)"
6002019,6002281,0.0625,"[0,0.125)"
6002019,6002374,0.125,"[0.125,0.25)"
6002019,6002375,0.0625,"[0,0.125)"
6002019,6002376,0.0625,"[0,0.125)"
6002019,6002427,0.25,"[0.25,0.5)"
6002019,6002428,0.125,"[0.125,0.25)"
6002019,6002429,0.125,"[0.125,0.25)"
6002019,6002482,0.25,"[0.25,0.5)"
6002019,6002483,0.125,"[0.125,0.25)"
6002019,6002485,0.0625,"[0,0.125)"
6002019,6002489,0.25,"[0.25,0.5)"
6002019,6002492,0.125,"[0.125,0.25)"
6002019,6002494,0.125,"[0.125,0.25)"
6002019,6002495,0.0625,"[0,0.125)"
6002019,6002496,0.0625,"[0,0.125)"
6002019,6002711,0.25,"[0.25,0.5)"
6002019,6002712,0.25,"[0.25,0.5)"
6002019,6002713,0.25,"[0.25,0.5)"
6002019,6002714,0.25,"[0.25,0.5)"
6002020,6002017,0.5,"[0.5,1)"
6002020,6002018,0.5,"[0.5,1)"
6002020,6002019,0.5,"[0.5,1)"
6002020,6002021,0.5,"[0.5,1)"
6002020,6002056,0.125,"[0.125,0.25)"
6002020,6002057,0.0625,"[0,0.125)"
6002020,6002058,0.0625,"[0,0.125)"
6002020,6002153,0.25,"[0.25,0.5)"
6002020,6002156,0.125,"[0.125,0.25)"
6002020,6002158,0.125,"[0.125,0.25)"
6002020,6002159,0.0625,"[0,0.125)"
6002020,6002160,0.0625,"[0,0.125)"
6002020,6002277,0.125,"[0.125,0.25)"
6002020,6002278,0.25,"[0.25,0.5)"
6002020,6002280,0.0625,"[0,0.125)"
6002020,6002281,0.0625,"[0,0.125)"
6002020,6002374,0.125,"[0.125,0.25)"
6002020,6002375,0.0625,"[0,0.125)"
6002020,6002376,0.0625,"[0,0.125)"
6002020,6002427,0.25,"[0.25,0.5)"
6002020,6002428,0.125,"[0.125,0.25)"
6002020,6002429,0.125,"[0.125,0.25)"
6002020,6002482,0.25,"[0.25,0.5)"
6002020,6002483,0.125,"[0.125,0.25)"
6002020,6002485,0.0625,"[0,0.125)"
6002020,6002489,0.25,"[0.25,0.5)"
6002020,6002492,0.125,"[0.125,0.25)"
6002020,6002494,0.125,"[0.125,0.25)"
6002020,6002495,0.0625,"[0,0.125)"
6002020,6002496,0.0625,"[0,0.125)"
6002020,6002711,0.25,"[0.25,0.5)"
6002020,6002712,0.25,"[0.25,0.5)"
6002020,6002713,0.25,"[0.25,0.5)"
6002020,6002714,0.25,"[0.25,0.5)"
6002021,6002017,0.5,"[0.5,1)"
6002021,6002018,0.5,"[0.5,1)"
6002021,6002019,0.5,"[0.5,1)"
6002021,6002020,0.5,"[0.5,1)"
6002021,6002056,0.125,"[0.125,0.25)"
6002021,6002057,0.0625,"[0,0.125)"
6002021,6002058,0.0625,"[0,0.125)"
6002021,6002153,0.25,"[0.25,0.5)"
6002021,6002156,0.125,"[0.125,0.25)"
6002021,6002158,0.125,"[0.125,0.25)"
6002021,6002159,0.0625,"[0,0.125)"
6002021,6002160,0.0625,"[0,0.125)"
6002021,6002277,0.125,"[0.125,0.25)"
6002021,6002278,0.25,"[0.25,0.5)"
6002021,6002280,0.0625,"[0,0.125)"
6002021,6002281,0.0625,"[0,0.125)"
6002021,6002374,0.125,"[0.125,0.25)"
6002021,6002375,0.0625,"[0,0.125)"
6002021,6002376,0.0625,"[0,0.125)"
6002021,6002427,0.25,"[0.25,0.5)"
6002021,6002428,0.125,"[0.125,0.25)"
6002021,6002429,0.125,"[0.125,0.25)"
6002021,6002482,0.25,"[0.25,0.5)"
6002021,6002483,0.125,"[0.125,0.25)"
6002021,6002485,0.0625,"[0,0.125)"
6002021,6002489,0.25,"[0.25,0.5)"
6002021,6002492,0.125,"[0.125,0.25)"
6002021,6002494,0.125,"[0.125,0.25)"
6002021,6002495,0.0625,"[0,0.125)"
6002021,6002496,0.0625,"[0,0.125)"
6002021,6002711,0.25,"[0.25,0.5)"
6002021,6002712,0.25,"[0.25,0.5)"
6002021,6002713,0.25,"[0.25,0.5)"
6002021,6002714,0.25,"[0.25,0.5)"
6002022,6002024,0.5,"[0.5,1)"
6002022,6002025,0.5,"[0.5,1)"
6002022,6002060,0.5,"[0.5,1)"
6002022,6002061,0.25,"[0.25,0.5)"
6002022,6002063,0.25,"[0.25,0.5)"
6002022,6002065,0.125,"[0.125,0.25)"
6002022,6002066,0.125,"[0.125,0.25)"
6002022,6002067,0.125,"[0.125,0.25)"
6002022,6002257,0.5,"[0.5,1)"
6002022,6002259,0.25,"[0.25,0.5)"
6002022,6002260,0.25,"[0.25,0.5)"
6002022,6002261,0.25,"[0.25,0.5)"
6002022,6002715,0.5,"[0.5,1)"
6002022,6002716,0.5,"[0.5,1)"
6002023,6002024,0.5,"[0.5,1)"
6002023,6002025,0.5,"[0.5,1)"
6002023,6002717,0.5,"[0.5,1)"
6002023,6002718,0.5,"[0.5,1)"
6002024,6002022,0.5,"[0.5,1)"
6002024,6002023,0.5,"[0.5,1)"
6002024,6002025,0.5,"[0.5,1)"
6002024,6002060,0.25,"[0.25,0.5)"
6002024,6002061,0.125,"[0.125,0.25)"
6002024,6002063,0.125,"[0.125,0.25)"
6002024,6002065,0.0625,"[0,0.125)"
6002024,6002066,0.0625,"[0,0.125)"
6002024,6002067,0.0625,"[0,0.125)"
6002024,6002257,0.25,"[0.25,0.5)"
6002024,6002259,0.125,"[0.125,0.25)"
6002024,6002260,0.125,"[0.125,0.25)"
6002024,6002261,0.125,"[0.125,0.25)"
6002024,6002715,0.25,"[0.25,0.5)"
6002024,6002716,0.25,"[0.25,0.5)"
6002024,6002717,0.25,"[0.25,0.5)"
6002024,6002718,0.25,"[0.25,0.5)"
6002025,6002022,0.5,"[0.5,1)"
6002025,6002023,0.5,"[0.5,1)"
6002025,6002024,0.5,"[0.5,1)"
6002025,6002060,0.25,"[0.25,0.5)"
6002025,6002061,0.125,"[0.125,0.25)"
6002025,6002063,0.125,"[0.125,0.25)"
6002025,6002065,0.0625,"[0,0.125)"
6002025,6002066,0.0625,"[0,0.125)"
6002025,6002067,0.0625,"[0,0.125)"
6002025,6002257,0.25,"[0.25,0.5)"
6002025,6002259,0.125,"[0.125,0.25)"
6002025,6002260,0.125,"[0.125,0.25)"
6002025,6002261,0.125,"[0.125,0.25)"
6002025,6002715,0.25,"[0.25,0.5)"
6002025,6002716,0.25,"[0.25,0.5)"
6002025,6002717,0.25,"[0.25,0.5)"
6002025,6002718,0.25,"[0.25,0.5)"
6002026,6002028,0.5,"[0.5,1)"
6002026,6002719,0.5,"[0.5,1)"
6002026,6002720,0.5,"[0.5,1)"
6002027,6002028,0.5,"[0.5,1)"
6002027,6002116,0.5,"[0.5,1)"
6002027,6002117,0.25,"[0.25,0.5)"
6002027,6002119,0.125,"[0.125,0.25)"
6002027,6002120,0.125,"[0.125,0.25)"
6002027,6002184,0.25,"[0.25,0.5)"
6002027,6002186,0.125,"[0.125,0.25)"
6002027,6002721,0.5,"[0.5,1)"
6002027,6002722,0.5,"[0.5,1)"
6002028,6002026,0.5,"[0.5,1)"
6002028,6002027,0.5,"[0.5,1)"
6002028,6002116,0.25,"[0.25,0.5)"
6002028,6002117,0.125,"[0.125,0.25)"
6002028,6002119,0.0625,"[0,0.125)"
6002028,6002120,0.0625,"[0,0.125)"
6002028,6002184,0.125,"[0.125,0.25)"
6002028,6002186,0.0625,"[0,0.125)"
6002028,6002719,0.25,"[0.25,0.5)"
6002028,6002720,0.25,"[0.25,0.5)"
6002028,6002721,0.25,"[0.25,0.5)"
6002028,6002722,0.25,"[0.25,0.5)"
6002029,6002031,0.5,"[0.5,1)"
6002029,6002145,0.5,"[0.5,1)"
6002029,6002146,0.5,"[0.5,1)"
6002029,6002148,0.25,"[0.25,0.5)"
6002029,6002149,0.25,"[0.25,0.5)"
6002029,6002201,0.5,"[0.5,1)"
6002029,6002203,0.25,"[0.25,0.5)"
6002029,6002204,0.25,"[0.25,0.5)"
6002029,6002206,0.25,"[0.25,0.5)"
6002029,6002208,0.125,"[0.125,0.25)"
6002029,6002209,0.0625,"[0,0.125)"
6002029,6002211,0.03125,"[0,0.125)"
6002029,6002212,0.03125,"[0,0.125)"
6002029,6002379,0.125,"[0.125,0.25)"
6002029,6002380,0.0625,"[0,0.125)"
6002029,6002381,0.0625,"[0,0.125)"
6002029,6002382,0.0625,"[0,0.125)"
6002029,6002408,0.25,"[0.25,0.5)"
6002029,6002409,0.5,"[0.5,1)"
6002029,6002460,0.0625,"[0,0.125)"
6002029,6002463,0.125,"[0.125,0.25)"
6002029,6002464,0.0625,"[0,0.125)"
6002029,6002465,0.03125,"[0,0.125)"
6002029,6002466,0.03125,"[0,0.125)"
6002029,6002723,0.5,"[0.5,1)"
6002029,6002813,0.25,"[0.25,0.5)"
6002029,6002814,0.25,"[0.25,0.5)"
6002030,6002031,0.5,"[0.5,1)"
6002030,6002724,0.5,"[0.5,1)"
6002030,6002725,0.5,"[0.5,1)"
6002031,6002029,0.5,"[0.5,1)"
6002031,6002030,0.5,"[0.5,1)"
6002031,6002145,0.25,"[0.25,0.5)"
6002031,6002146,0.25,"[0.25,0.5)"
6002031,6002148,0.125,"[0.125,0.25)"
6002031,6002149,0.125,"[0.125,0.25)"
6002031,6002201,0.25,"[0.25,0.5)"
6002031,6002203,0.125,"[0.125,0.25)"
6002031,6002204,0.125,"[0.125,0.25)"
6002031,6002206,0.125,"[0.125,0.25)"
6002031,6002208,0.0625,"[0,0.125)"
6002031,6002209,0.03125,"[0,0.125)"
6002031,6002211,0.015625,"[0,0.125)"
6002031,6002212,0.015625,"[0,0.125)"
6002031,6002379,0.0625,"[0,0.125)"
6002031,6002380,0.03125,"[0,0.125)"
6002031,6002381,0.03125,"[0,0.125)"
6002031,6002382,0.03125,"[0,0.125)"
6002031,6002408,0.125,"[0.125,0.25)"
6002031,6002409,0.25,"[0.25,0.5)"
6002031,6002460,0.03125,"[0,0.125)"
6002031,6002463,0.0625,"[0,0.125)"
6002031,6002464,0.03125,"[0,0.125)"
6002031,6002465,0.015625,"[0,0.125)"
6002031,6002466,0.015625,"[0,0.125)"
6002031,6002723,0.25,"[0.25,0.5)"
6002031,6002724,0.25,"[0.25,0.5)"
6002031,6002725,0.25,"[0.25,0.5)"
6002031,6002813,0.125,"[0.125,0.25)"
6002031,6002814,0.125,"[0.125,0.25)"
6002032,6002014,0.5,"[0.5,1)"
6002032,6002015,0.25,"[0.25,0.5)"
6002032,6002016,0.25,"[0.25,0.5)"
6002032,6002033,0.5,"[0.5,1)"
6002032,6002035,0.5,"[0.5,1)"
6002032,6002036,0.5,"[0.5,1)"
6002032,6002037,0.5,"[0.5,1)"
6002032,6002077,0.5,"[0.5,1)"
6002032,6002078,0.5,"[0.5,1)"
6002032,6002079,0.25,"[0.25,0.5)"
6002032,6002080,0.25,"[0.25,0.5)"
6002032,6002726,0.25,"[0.25,0.5)"
6002032,6002727,0.25,"[0.25,0.5)"
6002032,6002763,0.25,"[0.25,0.5)"
6002032,6002764,0.25,"[0.25,0.5)"
6002033,6002014,0.5,"[0.5,1)"
6002033,6002015,0.25,"[0.25,0.5)"
6002033,6002016,0.25,"[0.25,0.5)"
6002033,6002032,0.5,"[0.5,1)"
6002033,6002035,0.25,"[0.25,0.5)"
6002033,6002036,0.25,"[0.25,0.5)"
6002033,6002037,0.25,"[0.25,0.5)"
6002033,6002078,0.5,"[0.5,1)"
